txn_id,user_id,amount,txn_hour,is_qr,beneficiary_age_min,device_changed,location_velocity,failed_auth_24h,label
c03bfe7e-fe8f-42bd-99f0-4133432b5139,user_32,2506,11,0,97723,0,0,1,0
739f65de-3b04-411a-9680-3fadb05eead4,user_174,3809,10,0,82165,0,0,0,0
dffa297f-5d40-4091-bb26-2eab88d802e4,user_84,25643,3,1,7,1,1,5,1
c1aab4d2-2300-49ac-867a-7abf497d51de,user_360,3893,9,0,35632,0,0,0,0
d07232a1-60be-4d6d-aa2b-96c9bc0ddd38,user_90,15934,2,1,10,1,1,3,1
71123d1f-c1bb-4716-aa52-2a14db12ec8b,user_70,598,11,0,88269,0,0,1,0
dec4378d-b440-4336-a716-b17b7a86e6b0,user_179,2622,14,0,60123,0,0,0,0
65164f24-ff5b-46fd-9c05-7a5df92e5a41,user_163,857,22,0,87804,0,0,1,0
5f522596-5497-4b6a-87a6-0a1b26839a57,user_349,4028,12,0,66477,0,0,1,0
8d8e256c-2b89-4a42-b868-00f1e3a8234e,user_120,4255,13,0,16622,0,0,0,0
f187f49a-89ae-4005-b587-6692b0ae9c4b,user_374,2527,18,0,67470,0,0,1,0
3314d963-9468-4d8c-b8ca-31386622e8c3,user_49,4927,18,0,52336,0,0,1,0
a0a6beb3-9f62-42a9-be7f-49f8cafdc8a0,user_124,754,13,0,13857,0,0,1,0
3e89410d-993a-4a8a-ab49-00d39c635c78,user_293,3780,11,0,50672,0,0,0,0
c8bb75d2-b1ec-4e8e-aa96-870d6e13ca4f,user_27,932,11,0,50382,0,0,1,0
b0dfe46f-ff62-4b54-8358-14995b2155f3,user_350,4958,18,0,58666,0,0,1,0
5d161dcb-0de7-48e2-aaeb-fd6437d6ec90,user_198,19898,0,1,4,1,1,5,1
aad429d9-029e-4c31-8fc2-85d3e2d3d092,user_217,4754,15,0,16168,0,0,1,0
627262a2-344d-4acc-b1c4-8142b2ceb975,user_125,1663,22,0,73931,0,0,1,0
d6073e22-27db-4562-a3fe-354e702da876,user_225,818,18,0,44707,0,0,1,0
7d3a227b-d73b-4bc6-8d56-1742e696683d,user_392,177,9,0,93679,0,0,0,0
f3c552e7-bb3b-49de-b1bc-524ae479f857,user_331,1209,15,0,57898,0,0,0,0
4f75aed6-a8eb-4d08-89f1-ca26af5340be,user_210,354,14,0,51248,0,0,0,0
547e014f-7c45-4c89-a9de-93338f09041c,user_323,4486,8,0,72431,0,0,1,0
b9277f10-a55b-482f-b5a0-667adcd51c35,user_8,450,17,0,52711,0,0,0,0
87e50edc-03ec-4b18-a643-d59a1a6b519b,user_251,4337,18,0,98518,0,0,1,0
0f4346f9-9c1f-49f3-bd2b-366d8ea7b48c,user_3,4896,12,0,38211,0,0,0,0
46b097e4-02c2-4c58-81e5-ae888dde57ec,user_11,659,21,0,43964,0,0,1,0
e59dc96b-2ecd-49cd-8d96-3060d062f831,user_66,3667,10,0,76581,0,0,0,0
328b131f-ad4a-40c9-a3e3-443720dc4327,user_10,4575,10,0,66478,0,0,0,0
182652c8-c7ea-4ef4-9297-6d4e21429e6d,user_166,100,21,0,8628,0,0,1,0
7415c65f-552e-454f-a586-66816c7c8fbd,user_183,4345,19,0,39036,0,0,0,0
4a60d593-5efd-43ef-a70a-eba3604fdd79,user_32,4743,21,0,73611,0,0,1,0
39fc3ab6-4fa6-4835-8e87-d42de9494994,user_351,1707,12,0,34797,0,0,0,0
3b9ea75d-7207-4108-bed6-a3642ecb4bab,user_288,560,13,0,23238,0,0,1,0
db5861ee-f39d-4446-97dc-a1db9b0bd062,user_59,586,12,0,6661,0,0,1,0
b56cb2f8-696d-45be-9100-45be57864df6,user_168,2566,14,0,74127,0,0,0,0
62c02632-26b1-4934-bbf2-44c20ed65edf,user_286,2666,20,0,39802,0,0,0,0
fab8eccc-9386-40fa-9ceb-d6c32dbb02a0,user_270,4331,12,0,50016,0,0,1,0
8c91aed2-eb68-4ecf-a330-e7a1b0fbd935,user_3,1427,17,0,19141,0,0,1,0
5c26030e-4afe-4a53-9638-cf431826cfab,user_316,4594,22,0,51663,0,0,1,0
904ccdbe-036b-4516-8419-ebb158724ae3,user_15,1701,17,0,41752,0,0,0,0
073321d9-20e2-4dbc-9306-6fa9d1cf1a21,user_255,4655,18,0,58042,0,0,1,0
f9db3291-63e3-4d66-8b52-65e16b9e659d,user_168,4010,19,0,80647,0,0,1,0
6aba0d03-9b3a-495d-965e-83c82b150f0c,user_133,1899,10,0,19075,0,0,0,0
1e7a2a22-6d74-4a66-85cf-6c34f0261762,user_231,3396,10,0,38350,0,0,0,0
7a23c6cc-5dfb-48d6-be57-8c4fefe1c5dd,user_85,3640,9,0,22947,0,0,1,0
4655a617-b496-4161-b6cf-d28d7351d0a5,user_47,309,21,0,31912,0,0,1,0
1236a723-2ca7-4a64-9cf3-5f27181e8589,user_171,117,17,0,83157,0,0,0,0
df44d175-8d5f-46b4-b07f-aa4c80801706,user_196,3084,22,0,9962,0,0,0,0
ed777e76-73f0-474b-8608-ef32014d4621,user_255,1707,22,0,48722,0,0,0,0
3d778c06-c8a3-4d9e-a4b4-da9284f2244e,user_157,538,13,0,33705,0,0,0,0
93abcc45-5a6c-4100-be8a-50b341340813,user_251,1368,12,0,10166,0,0,1,0
aac7c9ba-cc13-4201-917b-82cb6bfd67d0,user_362,105,12,0,12723,0,0,1,0
f506dc00-6dfa-4e7c-b043-38a2c6997c80,user_389,4679,8,0,14342,0,0,0,0
68ae4dcc-2d62-470f-810e-0c84624113da,user_129,14572,3,1,9,1,1,4,1
e25882ab-a94c-4618-8de5-5321deaa2b16,user_98,1273,22,0,85281,0,0,0,0
abe3f3a5-e4b8-4315-b1ac-5f7eee91c039,user_36,412,15,0,54846,0,0,1,0
d1da99a7-768e-46bb-8b78-a2055fa8640e,user_147,967,17,0,90974,0,0,1,0
953f7339-a5ff-40a6-8875-d5d9d9e43eaa,user_200,2512,13,0,83794,0,0,0,0
3479d8a2-d8be-4731-bdcb-d3c795ca8d61,user_91,2004,15,0,52123,0,0,1,0
075de5d5-4695-400e-b4a0-a167c1643e66,user_329,2303,15,0,89630,0,0,1,0
6ecc0039-1e5c-4f50-8692-312adf05f031,user_285,2964,19,0,60669,0,0,1,0
